m,targetID,KID,dimerID,Linf,MSE,goodenough,targetID_name
8,8,33,29,2.0,7.024821988280098,False,AneqB
8,3,54,32,2.0,12.988991838384194,False,XOR
8,7,68,13,2.0,1.9715829749641445,False,AeqB
8,10,78,21,2.4126424035118585,22.69015413033533,False,ratio
8,4,43,11,2.0,12.0,False,NOR
8,5,97,5,2.0,22.367605196726714,False,XNOR
8,1,61,34,1.546090819114147,8.495092183453924,False,NAND
8,8,95,29,1.8584232208759406,3.7734245998532097,False,AneqB
8,8,8,8,2.0,37.00617068299629,False,AneqB
8,7,4,16,1.917831375668194,1.884917322804833,False,AeqB
8,5,87,4,2.0,12.030444317299606,False,XNOR
8,3,22,29,1.275931261405733,11.8926630006957,False,XOR
8,1,76,20,1.697984953317256,8.574839471135897,False,NAND
8,0,60,6,1.383389554574447,6.1827553376350695,False,AND
8,9,98,16,1.8404255259883802,2.7505312758080476,False,DoubleBandpass
8,6,53,29,1.5100024284851883,8.348414587860594,False,ANOTB
8,6,42,32,1.431935719115444,5.636240104925022,False,ANOTB
8,8,78,33,1.924704521962474,4.903391023514172,False,AneqB
8,0,32,30,2.0,11.116407274221087,False,AND
8,5,97,11,2.0,22.26584210030138,False,XNOR
8,4,29,33,1.2897967829026222,7.324828023129842,False,NOR
8,3,36,3,2.0,24.0,False,XOR
8,6,50,11,2.0,12.0,False,ANOTB
8,3,6,14,2.0,13.409229398738496,False,XOR
8,1,50,9,2.0,36.0,False,NAND
8,4,35,13,2.0,9.832341414073378,False,NOR
8,8,75,23,1.8804802496116206,3.4642686211296465,False,AneqB
8,4,92,14,2.0,12.0,False,NOR
8,2,48,32,2.0,36.0,False,OR
8,9,5,9,2.0,3.0,False,DoubleBandpass
8,6,95,29,2.0,7.715983865976496,False,ANOTB
8,2,58,10,2.0,36.0,False,OR
8,6,68,35,1.3198637436345964,7.554274780934815,False,ANOTB
8,5,48,5,2.0,17.613703811038064,False,XNOR
8,5,69,25,2.0,11.781148909187834,False,XNOR
8,8,78,4,2.0,10.921438343186603,False,AneqB
8,8,86,29,1.895068832620793,3.592589114841663,False,AneqB
8,3,96,28,2.0,16.310691905280322,False,XOR
8,4,30,2,2.0,12.0,False,NOR
8,2,17,0,2.0,26.430128337694885,False,OR
8,9,13,10,2.0,3.0,False,DoubleBandpass
8,7,38,21,1.8707254417062993,1.881388966035563,False,AeqB
8,8,77,29,1.8645331278241497,3.652182463900498,False,AneqB
8,2,66,24,2.0,36.0,False,OR
8,0,11,23,2.0,12.0,False,AND
8,8,6,0,5.698944727269248,54.05055334217263,False,AneqB
8,2,3,11,2.0,36.0,False,OR
8,7,14,6,2.0,2.0,False,AeqB
8,10,67,17,2.2903622441290423,23.931243392808877,False,ratio
8,3,26,33,2.0,17.222318966992066,False,XOR
8,6,19,19,2.0,9.723748064000086,False,ANOTB
8,3,21,35,1.0538813417527926,11.93429990759285,False,XOR
8,6,98,21,1.3470686804434981,5.805954914256084,False,ANOTB
8,9,18,14,2.0,3.0,False,DoubleBandpass
8,4,98,6,2.0,9.892271824532726,False,NOR
8,6,17,8,2.0,12.0,False,ANOTB
