m,targetID,KID,dimerID,Linf,MSE,goodenough,targetID_name
16,10,16,None,2.3089072337260967,4.8322187106670365,False,ratio
16,5,0,None,1.2839789203331304,10.719636553285545,False,XNOR
16,5,11,None,1.1892011829102307,6.536542446644874,False,XNOR
16,4,7,None,0.028315659223740575,0.0003262519730593979,True,NOR
16,7,2,None,1.912594875316067,1.6197777292168098,False,AeqB
16,3,3,None,1.4362277018241123,8.266481321431243,False,XOR
16,6,3,None,1.6948130493720934,0.9170085350635951,False,ANOTB
16,8,10,None,1.842117128631811,3.4717137731368672,False,AneqB
16,0,8,None,2.0,5.276328647987008,False,AND
16,3,13,None,1.3440206557060448,3.7114656710347975,False,XOR
16,6,15,None,1.38183210658329,0.5167428519546657,False,ANOTB
16,2,9,None,1.3552526072460949,2.055794171627826,False,OR
16,1,15,None,1.7888278902017303,4.6191011068534795,False,NAND
16,2,7,None,0.8935579630526429,1.1019340343411888,True,OR
16,9,16,None,1.5482160365818496,1.8920576578009582,False,DoubleBandpass
16,5,9,None,1.342951826292308,8.198578894993302,False,XNOR
16,2,15,None,0.5875056332083699,0.3519887612829707,True,OR
16,5,1,None,1.7034499884375789,7.07963359169808,False,XNOR
16,5,14,None,1.1558692335271938,8.600362422652546,False,XNOR
16,0,12,None,2.0,2.3741260490569043,False,AND
16,10,5,None,1.623825409987397,3.427710118924755,False,ratio
16,7,0,None,2.0,0.6150084087590233,False,AeqB
16,7,16,None,2.0,1.5820111828632177,False,AeqB
16,3,14,None,1.442160199420761,7.960527999053866,False,XOR
16,5,16,None,1.577475323399267,5.457949553500584,False,XNOR
16,9,0,None,1.4503696842042495,1.6234678422025046,False,DoubleBandpass
16,4,9,None,0.10002370538258232,0.013172181547468622,True,NOR
16,3,9,None,1.2268998751879456,8.46126946548698,False,XOR
16,2,2,None,1.0758752790288746,2.2131680862769896,False,OR
16,2,13,None,0.9487728996585805,1.6692852611358895,True,OR
16,8,3,None,1.8561747882456845,3.5286006182944796,False,AneqB
16,8,11,None,1.8457581848681113,3.503773068902966,False,AneqB
16,1,8,None,1.694989517829169,7.054743752611022,False,NAND
16,6,14,None,1.2901458500492926,3.1134642164821655,False,ANOTB
16,8,4,None,1.8533901716687171,3.383891717005344,False,AneqB
16,6,7,None,1.4743267471878512,1.0969870105117863,False,ANOTB
16,5,15,None,1.1728839753122768,10.190223791499037,False,XNOR
16,7,8,None,2.0,1.1765477155101642,False,AeqB
16,1,4,None,1.8346328394303135,2.93867070277061,False,NAND
16,0,3,None,1.7557373875148188,4.883131362475514,False,AND
16,8,1,None,1.8367940958127613,2.687357997150327,False,AneqB
16,7,13,None,2.0,1.5662607878880397,False,AeqB
16,10,0,None,1.3584531885706208,2.8559856543280517,False,ratio
16,6,8,None,1.4613088185209167,1.0492101887644016,False,ANOTB
16,2,10,None,0.1576176037783119,0.05892882575420639,True,OR
16,8,6,None,1.9724749220273408,3.5300985444445736,False,AneqB
16,0,10,None,0.6505743838254037,0.32770656821396904,True,AND
16,3,15,None,1.2815158701966727,8.306345076098852,False,XOR
16,3,0,None,1.3538684925359707,9.418388717110867,False,XOR
16,6,16,None,1.3034742935945163,0.8470945975377067,False,ANOTB
16,0,13,None,0.3460215323135596,0.025839798559122763,True,AND
16,4,11,None,0.31179444831965464,0.0663085915152033,True,NOR
16,9,6,None,1.4381228247381115,1.3894441007319926,False,DoubleBandpass
16,6,0,None,1.377217683916849,0.5787153832520637,False,ANOTB
16,10,6,None,1.6794412326374921,3.5380347480972705,False,ratio
16,1,3,None,1.9156935517271114,6.034752460460432,False,NAND
16,2,6,None,0.9312379572894312,1.4873232957079419,True,OR
16,6,5,None,1.5386600313024925,2.7945659550028843,False,ANOTB
16,7,10,None,2.0,1.5514674372187656,False,AeqB
16,7,7,None,0.9999262526306247,0.21666072174797144,True,AeqB
16,3,16,None,1.6525654370292355,7.445354188419774,False,XOR
16,1,5,None,1.6276478848889073,6.6203593083128025,False,NAND
16,9,11,None,1.3955282957217356,1.5965655100591427,False,DoubleBandpass
